source_table,target_column,model,split_type,repeat,n_train,n_test,n_numeric_features,n_categorical_features,rmse,mae,r2,spearman,top_1pct_recovery,top_5pct_recovery,top_10pct_recovery,ndcg_10pct,hgb_skipped_due_to_categorical_features,feature_source,target_family,feature_table,task,gas,target_property,target_unit,split_group_column,descriptor_family
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,dummy,random,0,48000,12000,5,0,1.7733139443026391,0.8970157849999999,-0.03648368819448189,,0.008333333333333333,0.06166666666666667,0.09916666666666667,0.2882906045266127,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,ridge,random,0,48000,12000,5,0,1.4947655734511982,0.34112961950412424,0.2635599696359042,0.8560243544708969,0.10833333333333334,0.39166666666666666,0.515,0.5772839350221879,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,hgb,random,0,48000,12000,5,0,1.4882710145202935,0.3285728899607065,0.26994553648125696,0.8551213078192558,0.09166666666666666,0.37166666666666665,0.5025,0.5624478763723788,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,randomforest,random,0,48000,12000,5,0,1.5441127789867712,0.3693678892215753,0.21413264623180928,0.8235685159731898,0.1,0.2966666666666667,0.4325,0.5420264728316988,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,extratrees,random,0,48000,12000,5,0,1.6855239341414314,0.4028465821214786,0.06360074157936502,0.8099086490358899,0.06666666666666667,0.26166666666666666,0.3925,0.5284335522791603,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,dummy,random,1,48000,12000,5,0,1.2955144073494655,0.8914152367500001,-0.059959592319803745,,0.008333333333333333,0.045,0.10333333333333333,0.31288147684950013,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,ridge,random,1,48000,12000,5,0,0.8766697091245592,0.32503012253753094,0.5146256553466313,0.851508261983274,0.14166666666666666,0.365,0.49,0.6865783311534434,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,hgb,random,1,48000,12000,5,0,0.8708887474880066,0.3198316137498625,0.5210058894561639,0.8491813746467775,0.15833333333333333,0.31166666666666665,0.46,0.6699556550756074,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,randomforest,random,1,48000,12000,5,0,1.0745207515125008,0.36995469067739284,0.27082053520873417,0.8219807489500803,0.09166666666666666,0.2833333333333333,0.42833333333333334,0.6470430179083001,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,extratrees,random,1,48000,12000,5,0,1.4164537780459392,0.4005104339449471,-0.26709631954988855,0.8104267523822696,0.09166666666666666,0.245,0.3858333333333333,0.6214594370303822,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,dummy,random,2,48000,12000,5,0,1.5661444485955511,0.90453455975,-0.05214128049593181,,0.008333333333333333,0.035,0.09333333333333334,0.2770876135500876,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,ridge,random,2,48000,12000,5,0,1.2365074554893232,0.3431055514032173,0.3441509284093943,0.8545398803425998,0.08333333333333333,0.39,0.485,0.605221448224011,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,hgb,random,2,48000,12000,5,0,1.2271671294585842,0.3314671703681439,0.3540218069675545,0.8521187368788266,0.11666666666666667,0.3433333333333333,0.4508333333333333,0.590578806840248,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,v/v,randomforest,random,2,48000,12000,5,0,1.524194855893942,0.394587940483495,0.0034676245228216773,0.8215583947980236,0.075,0.28833333333333333,0.42,0.5661265049231529,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
